globalName,vietnameseName,value
Sangonomiya Kokomi's Stella Fortuna: 1154,Chòm Sao Của Sangonomiya Kokomi: 1154,1154
Gorou's Stella Fortuna: 1155,Chòm Sao Của Gorou: 1155,1155
Kujou Sara's Stella Fortuna: 1156,Chòm Sao Của Kujou Sara: 1156,1156
Arataki Itto's Stella Fortuna: 1157,Chòm Sao Của Arataki Itto: 1157,1157
Yae Miko's Stella Fortuna: 1158,Chòm Sao Của Yae Miko: 1158,1158
Shikanoin Heizou's Stella Fortuna: 1159,Chòm Sao Của Shikanoin Heizou: 1159,1159
Yelan's Stella Fortuna: 1160,Chòm Sao Của Yelan: 1160,1160
Aloy's Stella Fortuna: 1162,Chòm Sao Của Aloy: 1162,1162
Shenhe's Stella Fortuna: 1163,Chòm Sao Của Shenhe: 1163,1163
Yun Jin's Stella Fortuna: 1164,Chòm Sao Của Yun Jin: 1164,1164
Kuki Shinobu's Stella Fortuna: 1165,Chòm Sao Của Kuki Shinobu: 1165,1165
Kamisato Ayato's Stella Fortuna: 1166,Chòm Sao Của Kamisato Ayato: 1166,1166
Collei's Stella Fortuna: 1167,Chòm Sao Của Collei: 1167,1167
Dori's Stella Fortuna: 1168,Chòm Sao Của Dori: 1168,1168
Tighnari's Stella Fortuna: 1169,Chòm Sao Của Tighnari: 1169,1169
Nilou's Stella Fortuna: 1170,Chòm Sao Của Nilou: 1170,1170
Cyno's Stella Fortuna: 1171,Chòm Sao Của Cyno: 1171,1171
Candace's Stella Fortuna: 1172,Chòm Sao Của Candace: 1172,1172
Nahida's Stella Fortuna: 1173,Chòm Sao Của Nahida: 1173,1173
Layla's Stella Fortuna: 1174,Chòm Sao Của Layla: 1174,1174
Wanderer's Stella Fortuna: 1175,Chòm Sao Của Kẻ Lang Thang: 1175,1175
Faruzan's Stella Fortuna: 1176,Chòm Sao Của Faruzan: 1176,1176
Yaoyao's Stella Fortuna: 1177,Chòm Sao Của Yaoyao: 1177,1177
Alhaitham's Stella Fortuna: 1178,Chòm Sao Của Alhaitham: 1178,1178
Gnostic Hymn - Old Notes: 1201,Nhật Ký Hành Trình Trân Châu - Khởi Đầu: 1201,1201
Blessing of the Welkin Moon - New Moon: 1202,Không Nguyệt Chúc Phúc - Trăng Non: 1202,1202
An Appellative Stroke: 1301,Bút Đổi Tên: 1301,1301
Energy Orb (Pyro): 2001,Cầu Năng Lượng Nguyên Tố (Hỏa): 2001,2001
Energy Orb (Hydro): 2002,Cầu Năng Lượng Nguyên Tố (Thủy): 2002,2002
Energy Orb (Dendro): 2003,Cầu Năng Lượng Nguyên Tố (Thảo): 2003,2003
Energy Orb (Electro): 2004,Cầu Năng Lượng Nguyên Tố (Điện): 2004,2004
Energy Orb (Anemo): 2005,Cầu Năng Lượng Nguyên Tố (Phong): 2005,2005
Energy Orb (Cryo): 2006,Cầu Năng Lượng Nguyên Tố (Băng): 2006,2006
Energy Orb (Geo): 2007,Cầu Năng Lượng Nguyên Tố (Nham): 2007,2007
Energy Orb (Any): 2008,Cầu Năng Lượng Nguyên Tố (Toàn): 2008,2008
Atomic Energy Orb (Pyro): 2017,Cầu Năng Lượng Nguyên Tử (Hỏa): 2017,2017
Atomic Energy Orb (Hydro): 2018,Cầu Năng Lượng Nguyên Tử (Thủy): 2018,2018
Atomic Energy Orb (Dendro): 2019,Cầu Năng Lượng Nguyên Tử (Thảo): 2019,2019
Atomic Energy Orb (Electro): 2020,Cầu Năng Lượng Nguyên Tử (Điện): 2020,2020
Atomic Energy Orb (Anemo): 2021,Cầu Năng Lượng Nguyên Tử (Phong): 2021,2021
Atomic Energy Orb (Cryo): 2022,Cầu Năng Lượng Nguyên Tử (Băng): 2022,2022
Atomic Energy Orb (Geo): 2023,Cầu Năng Lượng Nguyên Tử (Nham): 2023,2023
Atomic Energy Orb (All): 2024,Cầu Năng Lượng Nguyên Tử (Toàn): 2024,2024
Quest Use - Overpowered Atomic Energy Orb (All): 2025,Nhiệm Vụ-Cầu Năng Lượng Nguyên Tử Siêu Cấp (Toàn): 2025,2025
Time Shard (Minigame item): 2026,Mảnh Thời Gian (Đạo Cụ Tính Năng): 2026,2026
Time Shard (Minigame item): 2027,Mảnh Thời Gian (Đạo Cụ Tính Năng): 2027,2027
Quest Use - Atomic Energy Orb Pouch: 2028,Nhiệm Vụ - Cầu Năng Lượng Nguyên Tử Mật Nguyên Tố: 2028,2028
Quest Use - Atomic Energy Orb Pouch: 2029,Nhiệm Vụ - Cầu Năng Lượng Nguyên Tử Mật Nguyên Tố: 2029,2029
[N/A] 2942095588: 2800,[N/A] 2942095588: 2800,2800
[EN] - Test Random Treasure Chest: 3001,[EN] - Test Random Treasure Chest: 3001,3001
[EN] - Test Set Treasure Chest: 3002,[EN] - Test Set Treasure Chest: 3002,3002
[EN] - Character Card Draw: 3003,[EN] - Character Card Draw: 3003,3003
Kamisato Ayaka-cho cb1: 3004,Kamisato Ayaka-cho cb1: 3004,3004
Xiangling-cho cb1: 3005,Xiangling-cho cb1: 3005,3005
Jean-cho cb1: 3006,Jean-cho cb1: 3006,3006
Diluc-cho cb1: 3007,Diluc-cho cb1: 3007,3007
Venti-cho cb1: 3008,Venti-cho cb1: 3008,3008
[EN] - Kamisato Ayaka Test Package: 3009,[EN] - Kamisato Ayaka Test Package: 3009,3009
[EN] - Xiangling Test Package: 3010,[EN] - Xiangling Test Package: 3010,3010
[EN] - Jean Test Package: 3011,[EN] - Jean Test Package: 3011,3011
[EN] - Diluc Test Package: 3012,[EN] - Diluc Test Package: 3012,3012
[EN] - Venti Test Package: 3013,[EN] - Venti Test Package: 3013,3013
[EN] - Amber Test Package: 3014,[EN] - Amber Test Package: 3014,3014
[EN] - Kaeya Test Package: 3015,[EN] - Kaeya Test Package: 3015,3015
[EN] - Lisa Test Package: 3016,[EN] - Lisa Test Package: 3016,3016
[EN] - Barbara Test Package: 3017,[EN] - Barbara Test Package: 3017,3017
Barbara-cho cb1: 3018,Barbara-cho cb1: 3018,3018
Razor-cho cb1: 3019,Razor-cho cb1: 3019,3019
[EN] - Razor Test Package: 3020,[EN] - Razor Test Package: 3020,3020
Kaeya: 3021,Kaeya: 3021,3021
Lisa: 3022,Lisa: 3022,3022
[CHS] - (test)穿模测试: 10002,[CHS] - (test)穿模测试: 10002,10002
[CHS] - (test)穿模测试: 10003,[CHS] - (test)穿模测试: 10003,10003
[CHS] - (test)穿模测试: 10004,[CHS] - (test)穿模测试: 10004,10004
[CHS] - (test)穿模测试: 10005,[CHS] - (test)穿模测试: 10005,10005
[CHS] - (test)穿模测试: 10006,[CHS] - (test)穿模测试: 10006,10006
[CHS] - (test)穿模测试: 10008,[CHS] - (test)穿模测试: 10008,10008
Dull Blade: 11101,Vô Phong Kiếm: 11101,11101
Silver Sword: 11201,Kiếm Bạc: 11201,11201
Cool Steel: 11301,Lãnh Nhẫn: 11301,11301
Harbinger of Dawn: 11302,Thần Kiếm Lê Minh: 11302,11302
Traveler's Handy Sword: 11303,Kiếm Lữ Hành: 11303,11303
Dark Iron Sword: 11304,Kiếm Sắt Đen: 11304,11304
Fillet Blade: 11305,Đao Săn Cá: 11305,11305
Skyrider Sword: 11306,Kiếm Phi Thiên: 11306,11306
Favonius Sword: 11401,Tây Phong Kiếm: 11401,11401
The Flute: 11402,Kiếm Sáo: 11402,11402
Sacrificial Sword: 11403,Kiếm Tế Lễ: 11403,11403
Royal Longsword: 11404,Trường Kiếm Tông Thất: 11404,11404
Lion's Roar: 11405,Tiếng Hét Của Rồng: 11405,11405
Prototype Rancour: 11406,Mẫu Trảm Nham: 11406,11406
Iron Sting: 11407,Thiết Phong Kích: 11407,11407
Blackcliff Longsword: 11408,Hắc Nham Trường Kiếm: 11408,11408
The Black Sword: 11409,Kiếm Đen: 11409,11409
The Alley Flash: 11410,Tia Sáng Nơi Hẻm Tối: 11410,11410
[N/A] 1135130229: 11411,[N/A] 1135130229: 11411,11411
Sword of Descension: 11412,Kiếm Giáng Lâm: 11412,11412
Festering Desire: 11413,Răng Nanh Rỉ Sét: 11413,11413
Amenoma Kageuchi: 11414,Đoản Đao Amenoma: 11414,11414
Con Thoi Chu Sa: 11415,Con Thoi Chu Sa: 11415,11415
Kagotsurube Isshin: 11416,Kagotsurube Isshin: 11416,11416
Sapwood Blade: 11417,Kiếm Gỗ: 11417,11417
Xiphos' Moonlight: 11418,Ánh Trăng Xiphos: 11418,11418
Prized Isshin Blade: 11419,"Danh Đao ""Trường Phái Isshin"": 11419",11419
Prized Isshin Blade: 11420,"Danh Đao ""Trường Phái Isshin"": 11420",11420
Prized Isshin Blade: 11421,"Danh Đao ""Trường Phái Isshin"": 11421",11421
Toukabou Shigure: 11422,Toukabou Shigure: 11422,11422
Aquila Favonia: 11501,Phong Ưng Kiếm: 11501,11501
Skyward Blade: 11502,Thiên Không Kiếm: 11502,11502
Freedom-Sworn: 11503,Lời Thề Tự Do Cổ Xưa: 11503,11503
Summit Shaper: 11504,Kiếm Chước Phong: 11504,11504
Primordial Jade Cutter: 11505,Bàn Nham Kết Lục: 11505,11505
Primordial Jade Cutter: 11506,Nham Kết Lục: 11506,11506
One Side: 11507,Hư Vô: 11507,11507
[N/A] 1664039091: 11508,[N/A] 1664039091: 11508,11508
Mistsplitter Reforged: 11509,Ánh Sáng Đêm Sương Mù: 11509,11509
Haran Geppaku Futsu: 11510,Haran Geppaku Futsu: 11510,11510
Key of Khaj-Nisut: 11511,Chìa Khóa Khaj-Nisut: 11511,11511
Light of Foliar Incision: 11512,Ánh Lá Phán Quyết: 11512,11512
Waster Greatsword: 12101,Kiếm Huấn Luyện: 12101,12101
Old Merc's Pal: 12201,Kiếm Dụng Binh: 12201,12201
Ferrous Shadow: 12301,Kiếm Thiết Ảnh: 12301,12301
Bloodtainted Greatsword: 12302,Kiếm Huyết Rồng: 12302,12302
White Iron Greatsword: 12303,Kiếm Bạch Thiết: 12303,12303
Quartz: 12304,Kiếm Thạch Anh: 12304,12304
Debate Club: 12305,Gậy Thu Phục: 12305,12305
Skyrider Greatsword: 12306,Đại Kiếm Phi Thiên: 12306,12306
Favonius Greatsword: 12401,Đại Kiếm Tây Phong: 12401,12401
The Bell: 12402,Kiếm Chuông: 12402,12402
Sacrificial Greatsword: 12403,Đại Kiếm Tế Lễ: 12403,12403
Royal Greatsword: 12404,Đại Kiếm Tông Thất: 12404,12404
Rainslasher: 12405,Vũ Tài: 12405,12405
Prototype Archaic: 12406,Mẫu Cổ Hoa: 12406,12406
Whiteblind: 12407,Kiếm Bạch Ảnh: 12407,12407
Blackcliff Slasher: 12408,Hắc Nham Trảm Đao: 12408,12408
Serpent Spine: 12409,Kiếm Li Cốt: 12409,12409
Lithic Blade: 12410,Thiên Nham Cổ Kiếm: 12410,12410
Snow-Tombed Starsilver: 12411,Tuyết Vùi Tinh Ngân: 12411,12411
Luxurious Sea-Lord: 12412,Vua Biển Hàng Hiệu: 12412,12412
Katsuragikiri Nagamasa: 12414,Trường Đao Katsuragi: 12414,12414
Makhaira Aquamarine: 12415,Sắc Nước Makhaira: 12415,12415
Akuoumaru: 12416,Akuoumaru: 12416,12416
Forest Regalia: 12417,Vương Khí Rừng Sâu: 12417,12417
Skyward Pride: 12501,Thiên Không Kiêu Ngạo: 12501,12501
Wolf's Gravestone: 12502,Đường Cùng Của Sói: 12502,12502
Song of Broken Pines: 12503,Tiếng Gió Trong Rừng Thông: 12503,12503
The Unforged: 12504,Kiếm Vô Công: 12504,12504
Primordial Jade Greatsword: 12505,Đề Ách Ngư: 12505,12505
The Other Side: 12506,Dị Sử: 12506,12506
[N/A] 759708203: 12508,[N/A] 759708203: 12508,12508
[N/A] 2507837467: 12509,[N/A] 2507837467: 12509,12509
Redhorn Stonethresher: 12510,Xích Giác Phá Thạch Đao: 12510,12510
Beginner's Protector: 13101,Thương Tân Thủ: 13101,13101
Iron Point: 13201,Thương Sắt: 13201,13201
White Tassel: 13301,Thương Bạch Anh: 13301,13301
Halberd: 13302,Thuẫn Kích: 13302,13302
Black Tassel: 13303,Hắc Anh Thương: 13303,13303
The Flagstaff: 13304,Cột Cờ: 13304,13304
Dragon's Bane: 13401,Tai Ương Của Rồng: 13401,13401
Prototype Starglitter: 13402,Mẫu Tinh Liêm: 13402,13402
Crescent Pike: 13403,Lưu Nguyệt Châm: 13403,13403
Blackcliff Pole: 13404,Thương Hắc Nham: 13404,13404
Deathmatch: 13405,Thương Quyết Chiến: 13405,13405
Lithic Spear: 13406,Thương Thiên Nham: 13406,13406
Favonius Lance: 13407,Thương Tây Phong: 13407,13407
Royal Spear: 13408,Thương Săn Tông Thất: 13408,13408
Dragonspine Spear: 13409,Thương Long Tích: 13409,13409
Kitain Cross Spear: 13414,Giáo Thập Tự Kitain: 13414,13414
"""The Catch"": 13415",Lao Xiên Cá: 13415,13415
Wavebreaker's Fin: 13416,Vây Cá Chẻ Sóng: 13416,13416
Moonpiercer: 13417,Quán Nguyệt Thương: 13417,13417
Missive Windspear: 13419,Mũi Nhọn Của Gió: 13419,13419
Staff of Homa: 13501,Trượng Hộ Ma: 13501,13501
Skyward Spine: 13502,Xương Sống Thiên Không: 13502,13502
[N/A] 469555475: 13503,[N/A] 469555475: 13503,13503
Vortex Vanquisher: 13504,Giáo Nịnh Thần: 13504,13504
Primordial Jade Winged-Spear: 13505,Hòa Phác Diên: 13505,13505
Deicide: 13506,Sát Chủ: 13506,13506
Calamity Queller: 13507,Hủy Diệt: 13507,13507
Engulfing Lightning: 13509,Đoạn Thảo Trường Đao: 13509,13509
Staff of the Scarlet Sands: 13511,Quyền Trượng Cát Đỏ: 13511,13511
Apprentice's Notes: 14101,Nhật Ký Học Sinh: 14101,14101
Pocket Grimoire: 14201,Số Tay Ma Pháp: 14201,14201
Magic Guide: 14301,Tóm Tắt Ma Pháp: 14301,14301
Thrilling Tales of Dragon Slayers: 14302,Câu Chuyện Diệt Rồng: 14302,14302
Otherworldly Story: 14303,Tiểu Thuyết Dị Giới: 14303,14303
Emerald Orb: 14304,Quả Cầu Ngọc: 14304,14304
Twin Nephrite: 14305,Ngọc Sinh Đôi: 14305,14305
Amber Bead: 14306,Hổ Phách Nguyệt: 14306,14306
Favonius Codex: 14401,Tây Phong Mật Điển: 14401,14401
The Widsith: 14402,Chương Nhạc Lang Thang: 14402,14402
Sacrificial Fragments: 14403,Mảnh Chương Tế Lễ: 14403,14403
Royal Grimoire: 14404,Mật Pháp Tông Thất: 14404,14404
Solar Pearl: 14405,Nhật Nguyệt Hạp: 14405,14405
Prototype Amber: 14406,Mẫu Kim Phách: 14406,14406
Mappa Mare: 14407,Hải Đồ Vạn Quốc: 14407,14407
Blackcliff Agate: 14408,Hắc Nham Phỉ Ngọc: 14408,14408
Eye of Perception: 14409,Chiêu Tâm: 14409,14409
Wine and Song: 14410,Rượu Và Thơ Nơi Hẻm Tối: 14410,14410
[N/A] 415851979: 14411,[N/A] 415851979: 14411,14411
Frostbearer: 14412,Trái Chịu Lạnh: 14412,14412
Dodoco Tales: 14413,Tuyển tập các câu chuyện về Dodoco: 14413,14413
Hakushin Ring: 14414,Vòng Bạch Thần: 14414,14414
Oathsworn Eye: 14415,Con Ngươi Tuyên Thệ: 14415,14415
Wandering Evenstar: 14416,Sao Đêm Rong Ruổi: 14416,14416
Fruit of Fulfillment: 14417,Quả Mọng: 14417,14417
Skyward Atlas: 14501,Quyển Thiên Không: 14501,14501
Lost Prayer to the Sacred Winds: 14502,Điển Tích Tây Phong: 14502,14502
Lost Ballade: 14503,Bài Thơ Kể Chuyện: 14503,14503
Memory of Dust: 14504,Khóa Trần Thế: 14504,14504
Primordial Jade Regalia: 14505,Ngọc Định Thổ: 14505,14505
Everlasting Moonglow: 14506,Vầng Trăng Bất Diệt: 14506,14506
[N/A] 4123950051: 14508,[N/A] 4123950051: 14508,14508
Kagura's Verity: 14509,Chân Ý Của Kagura: 14509,14509
A Thousand Floating Dreams: 14511,Cõi Mộng Ngàn Đêm: 14511,14511
Tulaytullah's Remembrance: 14512,Hồi Ức Tulaytullah: 14512,14512
Hunter's Bow: 15101,Cung Săn Bắn: 15101,15101
Seasoned Hunter's Bow: 15201,Cung Săn Bắn Tôi Luyện: 15201,15201
