name,value,scheduleId,gachaType,bannerType,sortId,rateUpItems4,rateUpItems5,prefabPath,previewprefabPath,titlePath,globalName,vietnameseName,type,image
Tiếng Thở Dài Vô Tận (Elegy for the End),15503,59,302,WEAPON,2,"15405,11402,14402,13401,12403",11510,GachaShowPanel_A078,UI_Tab_GachaShowPanel_A078,UI_GACHA_SHOW_PANEL_A020_TITLE,Elegy for the End,Tiếng Thở Dài Vô Tận,Weapon,
Hòa Phác Diên (Primordial Jade Winged-Spear),13505,64,302,WEAPON,2,"13406,11403,12401,14409,15403",13505,GachaShowPanel_A083,UI_Tab_GachaShowPanel_A083,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Winged-Spear,Hòa Phác Diên,Weapon,
Hòa Phác Diên (Primordial Jade Winged-Spear),13505,64,302,WEAPON,2,"13406,11403,12401,14409,15403",15508,GachaShowPanel_A083,UI_Tab_GachaShowPanel_A083,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Winged-Spear,Hòa Phác Diên,Weapon,
Sangonomiya Kokomi (Sangonomiya Kokomi),1054,58,400,EVENT,982,"1044,1056,1032",1054,GachaShowPanel_A074,UI_Tab_GachaShowPanel_A074,UI_GACHA_SHOW_PANEL_A053_TITLE,Sangonomiya Kokomi,Sangonomiya Kokomi,Character,
Kamisato Ayaka (Kamisato Ayaka),1002,63,301,EVENT,982,"1045,1053,1020",1002,GachaShowPanel_A079,UI_Tab_GachaShowPanel_A079,UI_GACHA_SHOW_PANEL_A048_TITLE,Kamisato Ayaka,Kamisato Ayaka,Character,
Raiden Shogun (Raiden Shogun),1052,57,301,EVENT,982,"1044,1056,1032",1052,GachaShowPanel_A073,UI_Tab_GachaShowPanel_A073,UI_GACHA_SHOW_PANEL_A052_TITLE,Raiden Shogun,Raiden Shogun,Character,
Ánh Sáng Đêm Sương Mù (Mistsplitter Reforged),11509,62,302,WEAPON,2,"11401,12402,13407,14401,15401",11509,GachaShowPanel_A080,UI_Tab_GachaShowPanel_A080,UI_GACHA_SHOW_PANEL_A020_TITLE,Mistsplitter Reforged,Ánh Sáng Đêm Sương Mù,Weapon,
Kiếm Vô Công (The Unforged),12504,62,302,WEAPON,2,"11401,12402,13407,14401,15401",11509,GachaShowPanel_A080,UI_Tab_GachaShowPanel_A080,UI_GACHA_SHOW_PANEL_A020_TITLE,The Unforged,Kiếm Vô Công,Weapon,
Đoạn Thảo Trường Đao (Engulfing Lightning),13509,56,302,WEAPON,2,"12416,15416,11405,13407,14403",13509,GachaShowPanel_A075,UI_Tab_GachaShowPanel_A075,UI_GACHA_SHOW_PANEL_A020_TITLE,Engulfing Lightning,Đoạn Thảo Trường Đao,Weapon,
Vầng Trăng Bất Diệt (Everlasting Moonglow),14506,56,302,WEAPON,2,"12416,15416,11405,13407,14403",13509,GachaShowPanel_A075,UI_Tab_GachaShowPanel_A075,UI_GACHA_SHOW_PANEL_A020_TITLE,Everlasting Moonglow,Vầng Trăng Bất Diệt,Weapon,
Venti (Venti),1022,61,400,EVENT,982,"1023,1043,1064",1022,GachaShowPanel_A077,UI_Tab_GachaShowPanel_A077,UI_GACHA_SHOW_PANEL_A019_TITLE,Venti,Venti,Character,
Yae Miko (Yae Miko),1058,55,301,EVENT,982,"1031,1039,1050",1058,GachaShowPanel_A071,UI_Tab_GachaShowPanel_A071,UI_GACHA_SHOW_PANEL_A071_TITLE,Yae Miko,Yae Miko,Character,
Kamisato Ayato (Kamisato Ayato),1066,60,301,EVENT,982,"1023,1043,1064",1066,GachaShowPanel_A076,UI_Tab_GachaShowPanel_A076,UI_GACHA_SHOW_PANEL_A076_TITLE,Kamisato Ayato,Kamisato Ayato,Character,
Chân Ý Của Kagura (Kagura's Verity),14509,54,302,WEAPON,2,"11403,12405,13416,14409,15402",14509,GachaShowPanel_A072,UI_Tab_GachaShowPanel_A072,UI_GACHA_SHOW_PANEL_A020_TITLE,Kagura's Verity,Chân Ý Của Kagura,Weapon,
Bàn Nham Kết Lục (Primordial Jade Cutter),11505,54,302,WEAPON,2,"11403,12405,13416,14409,15402",14509,GachaShowPanel_A072,UI_Tab_GachaShowPanel_A072,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Cutter,Bàn Nham Kết Lục,Weapon,
Shenhe (Shenhe),1063,49,301,EVENT,982,"1064,1027,1036",1063,GachaShowPanel_A065,UI_Tab_GachaShowPanel_A065,UI_GACHA_SHOW_PANEL_A065_TITLE,Shenhe,Shenhe,Character,
Ganyu (Ganyu),1037,53,400,EVENT,982,"1025,1024,1048",1037,GachaShowPanel_A069,UI_Tab_GachaShowPanel_A069,UI_GACHA_SHOW_PANEL_A028_TITLE,Ganyu,Ganyu,Character,
Hủy Diệt (Calamity Queller),13507,48,302,WEAPON,2,"11402,12401,13406,14402,15401",13507,GachaShowPanel_A067,UI_Tab_GachaShowPanel_A067,UI_GACHA_SHOW_PANEL_A020_TITLE,Calamity Queller,Hủy Diệt,Weapon,
Hòa Phác Diên (Primordial Jade Winged-Spear),13505,48,302,WEAPON,2,"11402,12401,13406,14402,15401",13507,GachaShowPanel_A067,UI_Tab_GachaShowPanel_A067,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Winged-Spear,Hòa Phác Diên,Weapon,
Zhongli (Zhongli),1030,52,301,EVENT,982,"1025,1024,1048",1030,GachaShowPanel_A068,UI_Tab_GachaShowPanel_A068,UI_GACHA_SHOW_PANEL_A024_TITLE,Zhongli,Zhongli,Character,
Arataki Itto (Arataki Itto),1057,47,301,EVENT,982,"1055,1014,1023",1057,GachaShowPanel_A061,UI_Tab_GachaShowPanel_A061,UI_GACHA_SHOW_PANEL_A061_TITLE,Arataki Itto,Arataki Itto,Character,
Giáo Nịnh Thần (Vortex Vanquisher),13504,51,302,WEAPON,2,"11401,12410,13401,14401,15403",13504,GachaShowPanel_A070,UI_Tab_GachaShowPanel_A070,UI_GACHA_SHOW_PANEL_A020_TITLE,Vortex Vanquisher,Giáo Nịnh Thần,Weapon,
Cung Amos (Cung Amos),15502,51,302,WEAPON,2,"11401,12410,13401,14401,15403",13504,GachaShowPanel_A070,UI_Tab_GachaShowPanel_A070,UI_GACHA_SHOW_PANEL_A020_TITLE,Cung Amos,Cung Amos,Weapon,
Xích Giác Phá Thạch Đao (Redhorn Stonethresher),12510,46,302,WEAPON,2,"11410,12402,13407,14403,15412",12510,GachaShowPanel_A064,UI_Tab_GachaShowPanel_A064,UI_GACHA_SHOW_PANEL_A020_TITLE,Redhorn Stonethresher,Xích Giác Phá Thạch Đao,Weapon,
Cánh Thiên Không (Skyward Harp),15501,46,302,WEAPON,2,"11410,12402,13407,14403,15412",12510,GachaShowPanel_A064,UI_Tab_GachaShowPanel_A064,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Harp,Cánh Thiên Không,Weapon,
Xiao (Xiao),1026,50,400,EVENT,982,"1064,1027,1036",1026,GachaShowPanel_A066,UI_Tab_GachaShowPanel_A066,UI_GACHA_SHOW_PANEL_A031_TITLE,Xiao,Xiao,Character,
Eula (Eula),1051,45,400,EVENT,982,"1032,1034,1045",1051,GachaShowPanel_A062,UI_Tab_GachaShowPanel_A062,UI_GACHA_SHOW_PANEL_A041_TITLE,Eula,Eula,Character,
Albedo (Albedo),1038,44,301,EVENT,982,"1032,1034,1045",1038,GachaShowPanel_A060,UI_Tab_GachaShowPanel_A060,UI_GACHA_SHOW_PANEL_A027_TITLE,Albedo,Albedo,Character,
Tartaglia (Tartaglia),1033,40,301,EVENT,982,"1027,1036,1048",1033,GachaShowPanel_A056,UI_Tab_GachaShowPanel_A056,UI_GACHA_SHOW_PANEL_A037_TITLE,Tartaglia,Tartaglia,Character,
Lời Thề Tự Do Cổ Xưa (Freedom-Sworn),11503,43,302,WEAPON,2,"11405,12403,13401,14410,15410",11503,GachaShowPanel_A063,UI_Tab_GachaShowPanel_A063,UI_GACHA_SHOW_PANEL_A020_TITLE,Freedom-Sworn,Lời Thề Tự Do Cổ Xưa,Weapon,
Tiếng Gió Trong Rừng Thông (Song of Broken Pines),12503,43,302,WEAPON,2,"11405,12403,13401,14410,15410",11503,GachaShowPanel_A063,UI_Tab_GachaShowPanel_A063,UI_GACHA_SHOW_PANEL_A020_TITLE,Song of Broken Pines,Tiếng Gió Trong Rừng Thông,Weapon,
Khóa Trần Thế (Memory of Dust),14504,39,302,WEAPON,2,"13407,14409,15405,11401,12416",14504,GachaShowPanel_A058,UI_Tab_GachaShowPanel_A058,UI_GACHA_SHOW_PANEL_A020_TITLE,Memory of Dust,Khóa Trần Thế,Weapon,
Ngôi Sao Cực Đông (Polar Star),15507,39,302,WEAPON,2,"13407,14409,15405,11401,12416",14504,GachaShowPanel_A058,UI_Tab_GachaShowPanel_A058,UI_GACHA_SHOW_PANEL_A020_TITLE,Polar Star,Ngôi Sao Cực Đông,Weapon,
Hu Tao (Hu Tao),1046,42,301,EVENT,982,"1050,1039,1053",1046,GachaShowPanel_A057,UI_Tab_GachaShowPanel_A057,UI_GACHA_SHOW_PANEL_A033_TITLE,Hu Tao,Hu Tao,Character,
Sangonomiya Kokomi (Sangonomiya Kokomi),1054,38,301,EVENT,982,"1045,1024,1025",1054,GachaShowPanel_A053,UI_Tab_GachaShowPanel_A053,UI_GACHA_SHOW_PANEL_A053_TITLE,Sangonomiya Kokomi,Sangonomiya Kokomi,Character,
Trượng Hộ Ma (Staff of Homa),13501,41,302,WEAPON,2,"11403,12405,13416,14402,15416",13501,GachaShowPanel_A059,UI_Tab_GachaShowPanel_A059,UI_GACHA_SHOW_PANEL_A020_TITLE,Staff of Homa,Trượng Hộ Ma,Weapon,
Tiếng Thở Dài Vô Tận (Elegy for the End),15503,41,302,WEAPON,2,"11403,12405,13416,14402,15416",13501,GachaShowPanel_A059,UI_Tab_GachaShowPanel_A059,UI_GACHA_SHOW_PANEL_A020_TITLE,Elegy for the End,Tiếng Thở Dài Vô Tận,Weapon,
Bàn Nham Kết Lục (Primordial Jade Cutter),11505,37,302,WEAPON,2,"13401,14401,12401,11402,15402",11505,GachaShowPanel_A055,UI_Tab_GachaShowPanel_A055,UI_GACHA_SHOW_PANEL_A020_TITLE,Primordial Jade Cutter,Bàn Nham Kết Lục,Weapon,
Vầng Trăng Bất Diệt (Everlasting Moonglow),14506,37,302,WEAPON,2,"13401,14401,12401,11402,15402",11505,GachaShowPanel_A055,UI_Tab_GachaShowPanel_A055,UI_GACHA_SHOW_PANEL_A020_TITLE,Everlasting Moonglow,Vầng Trăng Bất Diệt,Weapon,
Raiden Shogun (Raiden Shogun),1052,36,301,EVENT,983,"1056,1023,1043",1052,GachaShowPanel_A052,UI_Tab_GachaShowPanel_A052,UI_GACHA_SHOW_PANEL_A052_TITLE,Raiden Shogun,Raiden Shogun,Character,
Sấm Sét Rung Động (Thundering Pulse),15509,33,302,WEAPON,2,"13401,15401,12405,11403,14403",15509,GachaShowPanel_A051,UI_Tab_GachaShowPanel_A051,UI_GACHA_SHOW_PANEL_A020_TITLE,Thundering Pulse,Sấm Sét Rung Động,Weapon,
Thiên Không Kiếm (Skyward Blade),11502,33,302,WEAPON,2,"13401,15401,12405,11403,14403",15509,GachaShowPanel_A051,UI_Tab_GachaShowPanel_A051,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Blade,Thiên Không Kiếm,Weapon,
Đoạn Thảo Trường Đao (Engulfing Lightning),13509,35,302,WEAPON,2,"12402,11405,14402,15403,13407",13509,GachaShowPanel_A054,UI_Tab_GachaShowPanel_A054,UI_GACHA_SHOW_PANEL_A020_TITLE,Engulfing Lightning,Đoạn Thảo Trường Đao,Weapon,
Kiếm Vô Công (The Unforged),12504,35,302,WEAPON,2,"12402,11405,14402,15403,13407",13509,GachaShowPanel_A054,UI_Tab_GachaShowPanel_A054,UI_GACHA_SHOW_PANEL_A020_TITLE,The Unforged,Kiếm Vô Công,Weapon,
Kamisato Ayaka (Kamisato Ayaka),1002,32,301,EVENT,985,"1027,1036,1048",1002,GachaShowPanel_A048,UI_Tab_GachaShowPanel_A048,UI_GACHA_SHOW_PANEL_A048_TITLE,Kamisato Ayaka,Kamisato Ayaka,Character,
Yoimiya (Yoimiya),1049,34,301,EVENT,984,"1053,1039,1044",1049,GachaShowPanel_A049,UI_Tab_GachaShowPanel_A049,UI_GACHA_SHOW_PANEL_A049_TITLE,Yoimiya,Yoimiya,Character,
Ánh Sáng Đêm Sương Mù (Mistsplitter Reforged),11509,31,302,WEAPON,2,"14401,11401,13407,15402,12403",11509,GachaShowPanel_A050,UI_Tab_GachaShowPanel_A050,UI_GACHA_SHOW_PANEL_A020_TITLE,Mistsplitter Reforged,Ánh Sáng Đêm Sương Mù,Weapon,
Xương Sống Thiên Không (Skyward Spine),13502,31,302,WEAPON,2,"14401,11401,13407,15402,12403",11509,GachaShowPanel_A050,UI_Tab_GachaShowPanel_A050,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Spine,Xương Sống Thiên Không,Weapon,
Kaedehara Kazuha (Kaedehara Kazuha),1047,30,301,EVENT,986,"1045,1032,1020",1047,GachaShowPanel_A045,UI_Tab_GachaShowPanel_A045,UI_GACHA_SHOW_PANEL_A045_TITLE,Kaedehara Kazuha,Kaedehara Kazuha,Character,
Điển Tích Tây Phong (Lost Prayer to the Sacred Winds),14502,27,302,WEAPON,2,"13407,11405,15412,12402,14402",14502,GachaShowPanel_A046,UI_Tab_GachaShowPanel_A046,UI_GACHA_SHOW_PANEL_A020_TITLE,Lost Prayer to the Sacred Winds,Điển Tích Tây Phong,Weapon,
Thiên Không Kiêu Ngạo (Skyward Pride),12501,27,302,WEAPON,2,"13407,11405,15412,12402,14402",14502,GachaShowPanel_A046,UI_Tab_GachaShowPanel_A046,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Pride,Thiên Không Kiêu Ngạo,Weapon,
Lời Thề Tự Do Cổ Xưa (Freedom-Sworn),11503,2,302,WEAPON,29,"15410,13401,12401,11410,14410",11503,GachaShowPanel_A047,UI_Tab_GachaShowPanel_A047,UI_GACHA_SHOW_PANEL_A020_TITLE,Freedom-Sworn,Lời Thề Tự Do Cổ Xưa,Weapon,
Quyển Thiên Không (Skyward Atlas),14501,2,302,WEAPON,29,"15410,13401,12401,11410,14410",11503,GachaShowPanel_A047,UI_Tab_GachaShowPanel_A047,UI_GACHA_SHOW_PANEL_A020_TITLE,Skyward Atlas,Quyển Thiên Không,Weapon,
Eula (Eula),1051,26,301,EVENT,988,"1044,1025,1024",1051,GachaShowPanel_A041,UI_Tab_GachaShowPanel_A041,UI_GACHA_SHOW_PANEL_A041_TITLE,Eula,Eula,Character,
Klee (Klee),1029,28,301,EVENT,987,"1014,1043,1031",1029,GachaShowPanel_A044,UI_Tab_GachaShowPanel_A044,UI_GACHA_SHOW_PANEL_A018_TITLE,Klee,Klee,Character,
Tiếng Gió Trong Rừng Thông (Song of Broken Pines),12503,25,302,WEAPON,2,"13401,14403,11403,15405,12405",12503,GachaShowPanel_A043,UI_Tab_GachaShowPanel_A043,UI_GACHA_SHOW_PANEL_A043_TITLE,Song of Broken Pines,Tiếng Gió Trong Rừng Thông,Weapon,
Phong Ưng Kiếm (Aquila Favonia),11501,25,302,WEAPON,2,"13401,14403,11403,15405,12405",12503,GachaShowPanel_A043,UI_Tab_GachaShowPanel_A043,UI_GACHA_SHOW_PANEL_A043_TITLE,Aquila Favonia,Phong Ưng Kiếm,Weapon,
Zhongli (Zhongli),1030,24,301,EVENT,989,"1048,1034,1039",1030,GachaShowPanel_A040,UI_Tab_GachaShowPanel_A040,UI_GACHA_SHOW_PANEL_A040_TITLE,Zhongli,Zhongli,Character,
Hu Tao (Hu Tao),1046,22,301,EVENT,992,"1025,1036,1023",1046,GachaShowPanel_A037,UI_Tab_GachaShowPanel_A037,UI_GACHA_SHOW_PANEL_A037_TITLE,Hu Tao,Hu Tao,Character,
Kiếm Chước Phong (Summit Shaper),11504,23,302,WEAPON,2,"12410,13406,15403,11402,14409",11504,GachaShowPanel_A042,UI_Tab_GachaShowPanel_A042,UI_GACHA_SHOW_PANEL_A042_TITLE,Summit Shaper,Kiếm Chước Phong,Weapon,
Khóa Trần Thế (Memory of Dust),14504,23,302,WEAPON,2,"12410,13406,15403,11402,14409",11504,GachaShowPanel_A042,UI_Tab_GachaShowPanel_A042,UI_GACHA_SHOW_PANEL_A042_TITLE,Memory of Dust,Khóa Trần Thế,Weapon,
Cánh Thiên Không (Skyward Harp),15501,21,302,WEAPON,2,"15410,11401,13407,14401,12403",15501,GachaShowPanel_A039,UI_Tab_GachaShowPanel_A039,UI_GACHA_SHOW_PANEL_A039_TITLE,Skyward Harp,Cánh Thiên Không,Weapon,
Điển Tích Tây Phong (Lost Prayer to the Sacred Winds),14502,21,302,WEAPON,2,"15410,11401,13407,14401,12403",15501,GachaShowPanel_A039,UI_Tab_GachaShowPanel_A039,UI_GACHA_SHOW_PANEL_A039_TITLE,Lost Prayer to the Sacred Winds,Điển Tích Tây Phong,Weapon,
Venti (Venti),1022,20,301,EVENT,991,"1043,1020,1034",1022,GachaShowPanel_A036,UI_Tab_GachaShowPanel_A036,UI_GACHA_SHOW_PANEL_A036_TITLE,Venti,Venti,Character,
Hu Tao (Hu Tao),1046,18,301,EVENT,992,"1025,1036,1023",1046,GachaShowPanel_A033,UI_Tab_GachaShowPanel_A033,UI_GACHA_SHOW_PANEL_A033_TITLE,Hu Tao,Hu Tao,Character,
Tiếng Thở Dài Vô Tận (Elegy for the End),15503,19,302,WEAPON,2,"13401,12401,15401,11410,14410",15503,GachaShowPanel_A038,UI_Tab_GachaShowPanel_A038,UI_GACHA_SHOW_PANEL_A038_TITLE,Elegy for the End,Tiếng Thở Dài Vô Tận,Weapon,
Thiên Không Kiếm (Skyward Blade),11502,19,302,WEAPON,2,"13401,12401,15401,11410,14410",15503,GachaShowPanel_A038,UI_Tab_GachaShowPanel_A038,UI_GACHA_SHOW_PANEL_A038_TITLE,Skyward Blade,Thiên Không Kiếm,Weapon,
Trượng Hộ Ma (Staff of Homa),13501,17,302,WEAPON,2,"11405,12410,13406,14402,15403",13501,GachaShowPanel_A035,UI_Tab_GachaShowPanel_A035,UI_GACHA_SHOW_PANEL_A035_TITLE,Staff of Homa,Trượng Hộ Ma,Weapon,
Đường Cùng Của Sói (Wolf's Gravestone),12502,17,302,WEAPON,2,"11405,12410,13406,14402,15403",13501,GachaShowPanel_A035,UI_Tab_GachaShowPanel_A035,UI_GACHA_SHOW_PANEL_A035_TITLE,Wolf's Gravestone,Đường Cùng Của Sói,Weapon,
Keqing (Keqing),1042,16,301,EVENT,993,"1027,1032,1014",1042,GachaShowPanel_A032,UI_Tab_GachaShowPanel_A032,UI_GACHA_SHOW_PANEL_A032_TITLE,Keqing,Keqing,Character,
Bàn Nham Kết Lục (Primordial Jade Cutter),11505,14,302,WEAPON,2,"14409,13407,11402,15405,12403",11505,GachaShowPanel_A034,UI_Tab_GachaShowPanel_A034,UI_GACHA_SHOW_PANEL_A034_TITLE,Primordial Jade Cutter,Bàn Nham Kết Lục,Weapon,
Hòa Phác Diên (Primordial Jade Winged-Spear),13505,14,302,WEAPON,2,"14409,13407,11402,15405,12403",11505,GachaShowPanel_A034,UI_Tab_GachaShowPanel_A034,UI_GACHA_SHOW_PANEL_A034_TITLE,Primordial Jade Winged-Spear,Hòa Phác Diên,Weapon,
Xiao (Xiao),1026,15,301,EVENT,994,"1039,1024,1044",1026,GachaShowPanel_A031,UI_Tab_GachaShowPanel_A031,UI_GACHA_SHOW_PANEL_A031_TITLE,Xiao,Xiao,Character,
Ganyu (Ganyu),1037,13,301,EVENT,995,"1023,1025,1034",1037,GachaShowPanel_A028,UI_Tab_GachaShowPanel_A028,UI_GACHA_SHOW_PANEL_A028_TITLE,Ganyu,Ganyu,Character,
Cung Amos (Cung Amos),15502,12,302,WEAPON,2,"13401,14409,12402,11403,15401",15502,GachaShowPanel_A030,UI_Tab_GachaShowPanel_A030,UI_GACHA_SHOW_PANEL_A030_TITLE,Cung Amos,Cung Amos,Weapon,
Thiên Không Kiêu Ngạo (Skyward Pride),12501,12,302,WEAPON,2,"13401,14409,12402,11403,15401",15502,GachaShowPanel_A030,UI_Tab_GachaShowPanel_A030,UI_GACHA_SHOW_PANEL_A030_TITLE,Skyward Pride,Thiên Không Kiêu Ngạo,Weapon,
Albedo (Albedo),1038,11,301,EVENT,996,"1031,1043,1032",1038,GachaShowPanel_A027,UI_Tab_GachaShowPanel_A027,UI_GACHA_SHOW_PANEL_A027_TITLE,Albedo,Albedo,Character,
Kiếm Chước Phong (Summit Shaper),11504,10,302,WEAPON,2,"12401,13407,11405,15402,14402",11504,GachaShowPanel_A029,UI_Tab_GachaShowPanel_A029,UI_GACHA_SHOW_PANEL_A029_TITLE,Summit Shaper,Kiếm Chước Phong,Weapon,
Quyển Thiên Không (Skyward Atlas),14501,10,302,WEAPON,2,"12401,13407,11405,15402,14402",11504,GachaShowPanel_A029,UI_Tab_GachaShowPanel_A029,UI_GACHA_SHOW_PANEL_A029_TITLE,Skyward Atlas,Quyển Thiên Không,Weapon,
Zhongli (Zhongli),1030,9,301,EVENT,998,"1044,1036,1020",1030,GachaShowPanel_A024,UI_Tab_GachaShowPanel_A024,UI_GACHA_SHOW_PANEL_A024_TITLE,Zhongli,Zhongli,Character,
Cánh Thiên Không (Skyward Harp),15501,8,302,WEAPON,2,"15405,11402,14409,13407,12405",15501,GachaShowPanel_A025,UI_Tab_GachaShowPanel_A025,UI_GACHA_SHOW_PANEL_A025_TITLE,Skyward Harp,Cánh Thiên Không,Weapon,
